66,24,01661,8-24-01661,2021-11-15,TI-6AL-4V,M5-8,8444,770,,32-5-60-0820-97,ÈË85-32,84054231TRD,64,11,ÑÂÀÐÎ×ÍÀß ÏÐÎÂÎËÎÊÀ,840,algorithm,2,f,,f
67,48,02848,8-48-02848,2021-11-15,GRADE2,6120DTUBESKELPM1-2,1180,1000,321692,32-5-60-0829-97,ÈË22-9,84069129TVY,20,4,GRADE26,1100,algorithm,2,t,37,f
68,05,10714,8-05-10714,2021-11-15,GRADE2,(6120FPLATE)M2-4,9281,650,321602,32-5-60-0841-97,945-6,84069129TVY,26,2,GRADE26,920,algorithm,1,f,30,f
69,05,10713,8-05-10713,2021-11-15,TI-6AL-4V,M5-7,9281,650,321341,32-5-60-0843-97,1092-3,84054232TRD,22,5,6AL-4V,920,algorithm,1,f,30,f
70,31,07876,9-31-07876,2021-11-15,ÏT-3B,CËÓ,7746,690,321689,32-5-60-0852-97,ÑÒÎ 05-038,-,,,-,770,algorithm,2,t,25,t
71,45,12009,9-45-12009,2021-11-15,BT20,KÏ,8721,770,320252,32-5-60-0862-97,ÑÒÎ 05-038,-,,,-,870,algorithm,2,t,25,t
72,40,07874,8-40-07874,2021-11-15,3MK,-,6781,650,321222,32-5-60-0863-97,ØÍ,64326107RU52,164,1,"ØTAMÏOBKÈ 3Ø-587Á 2TÃ-126, 2TÃ-127 ",670,algorithm,1,f,25,f
73,06,09216,8-06-09216,2021-11-15,GR1,ÏP,7720,670,321602,32-5-60-0866-98,ÈË08-0,020KIV,2,6,,770,algorithm,2,t,37,f
74,09,10502,8-09-10502,2021-11-15,TI-6AL-4V,M5-7,8780,650,320507,32-5-60-0871-98,1092-3,84054232TRD,22,5,6AL-4V,870,algorithm,1,f,30,f
75,02,05671,8-02-05671,2021-11-15,GR1,ÏP,7722,670,321543,32-5-60-0874-98,ÈË08-0,021KIV,1,2,ËÈÃATÓPA,770,algorithm,2,t,37,t
76,47,01690,8-47-01690,2021-11-15,BT6×Ï,-,7723,670,321692,32-5-60-0875-98,ØÍ,64300416RA51,1,14,ÑÂÀÐÎ×ÍÀß ÏÐÎÂÎËÎÊÀ,770,algorithm,2,t,17,t
77,21,07762,8-21-07762,2021-11-15,TI6AL4V,M5-8,9244,840,321594,32-5-60-0877-98,ÈË54-23,0760136TKU,9,2,ÑÂÀÐÎ×ÍÀß ÏÐÎÂÎËÎÊÀ,920,algorithm,3,t,37,t
78,47,01690,8-47-01690,2021-11-15,BT6×Ï,-,7723,670,321692,32-5-60-0883-98,ØÍ,64300416RA51,1,14,ÑÂÀÐÎ×ÍÀß ÏÐÎÂÎËÎÊÀ,770,algorithm,2,t,17,t
79,19,04969,8-19-04969,2021-11-15,3MK,-,7762,650,321531,32-5-60-0886-98,ØÍ,057TOM,101,1,"ØTAMÏOBKÈ 3Ø-587Á 2TÃ-126, 2TÃ-127 ",770,algorithm,1,f,25,f
80,45,12009,9-45-12009,2021-11-15,BT20,KÏ,8721,770,320252,32-5-60-0891-98,ÑÒÎ 05-038,-,,,-,870,algorithm,2,t,25,t
81,44,10393,8-44-10393,2021-11-15,TA6V,M5-8,7768,650,321801,32-5-60-0896-98,1155-3,1562606TKU,33,2,ÑÂÀÐÎ×ÍÀß ÏÐÎÂÎËÎÊÀ,770,algorithm,1,f,20,f
82,32,05673,9-32-05673,2021-11-15,10-2-3,-,7744,690,320747,32-5-60-0897-98,ÈË 131-35,-,,,-,770,algorithm,2,t,15,f
83,36,11227,8-36-11227,2021-11-15,BT6×Ï,-,8751,770,321689,32-5-60-0906-98,ØÍ,64300416RA51,1,12,ÑÂÀÐÎ×ÍÀß ÏÐÎÂÎËÎÊÀ,870,algorithm,2,t,25,f
84,06,09216,8-06-09216,2021-11-15,GR1,ÏP,7720,670,321602,32-5-60-0910-98,ÈË08-0,020KIV,2,6,,770,algorithm,2,t,37,f
85,48,02848,8-48-02848,2021-11-15,GRADE2,6120DTUBESKELPM1-2,1180,1000,321692,32-5-60-0914-98,ÈË22-9,84069129TVY,20,4,GRADE26,1100,algorithm,2,t,37,f
86,31,07876,9-31-07876,2021-11-15,ÏT-3B,CËÓ,7746,690,321689,32-5-60-0916-98,ÑÒÎ 05-038,-,,,-,770,algorithm,2,t,25,t
87,48,02848,8-48-02848,2021-11-15,GRADE2,6120DTUBESKELPM1-2,1180,1000,321692,32-5-60-0917-98,ÈË22-9,84069129TVY,20,4,GRADE26,1100,algorithm,2,t,37,f
88,44,10393,8-44-10393,2021-11-15,TA6V,M5-8,7768,650,320994,32-5-60-0920-98,1155-3,1562606TKU,33,2,ÑÂÀÐÎ×ÍÀß ÏÐÎÂÎËÎÊÀ,770,algorithm,1,f,20,f
89,20,04628,8-20-04628,2021-11-15,TI6AL4VELI,M5-2N,6762,650,321531,32-5-60-0924-98,995-13,84054120TDD,43,3,"ØTAMÏOBKÈ 3Ø-587Á 2TÃ-126, 2TÃ-127 ",670,algorithm,1,f,25,f
90,02,05671,8-02-05671,2021-11-15,GR1,ÏP,7722,670,321543,32-5-60-0927-98,ÈË08-0,021KIV,1,2,ËÈÃATÓPA,770,algorithm,2,t,37,t
91,07,05442,8-07-05442,2021-11-15,TA6V,M5-7,7060,650,320507,32-5-60-0938-98,1187-0,28021210TJG,1,1,09001,705,algorithm,1,f,25,f
92,20,04627,8-20-04627,2021-11-15,BT23Ï,-,6762,650,321552,32-5-60-0947-98,ØÍ,64315577RA51,1,165,ÇAÃOTOBKÈ ÄËß CKOÁ,670,algorithm,1,f,25,f
93,48,02848,8-48-02848,2021-11-15,GRADE2,6120DTUBESKELPM1-2,1180,1000,321692,32-5-60-0948-98,ÈË22-9,84069129TVY,20,4,GRADE26,1100,algorithm,2,t,37,f
94,18,08951,8-18-08951,2021-11-15,GRADE2,(6120FPLATE)M2-4,9280,650,321427,32-5-60-0950-98,945-6,84069129TVY,26,2,GRADE26,920,algorithm,1,f,30,f
95,11,11344,8-11-11344,2021-11-15,TI-6AL-4V,M5-5,1042,920,320826,32-5-60-0952-99,ÈË55-5,25002200TLS,1,3,01005,1000,algorithm,2,t,37,t
96,31,07875,9-31-07875,2021-11-15,TI6AL4V,M5-8,7746,690,320469,32-5-60-0957-99,ÈË 85-32,-,,,-,770,algorithm,2,t,25,t
97,31,07876,9-31-07876,2021-11-15,ÏT-3B,CËÓ,7746,690,321689,32-5-60-0961-99,ÑÒÎ 05-038,-,,,-,770,algorithm,2,t,25,t
98,41,11989,8-41-11989,2021-11-15,TI-6AL-4V,Ä3 M5-10,7741,670,320933,32-5-60-0974-99,ÈË107-18,82620191TRR,4,9,3ØTKO-700,770,algorithm,2,f,25,f
99,31,07875,9-31-07875,2021-11-15,TI6AL4V,M5-8,7746,690,320469,32-5-60-0979-99,ÈË 85-32,-,,,-,770,algorithm,2,t,25,t
100,11,11344,8-11-11344,2021-11-15,TI-6AL-4V,M5-5,1042,920,320826,32-5-60-0981-99,ÈË55-5,25002200TLS,1,3,01005,1000,algorithm,2,t,37,t
